filename,genre
m00248.wav,metal
m00230.wav,country
m00637.wav,hiphop
m00627.wav,metal
m00138.wav,reggae
m00192.wav,classical
m00429.wav,hiphop
m00623.wav,reggae
m00002.wav,jazz
m00039.wav,reggae
m00677.wav,country
m00867.wav,rock
m00503.wav,metal
m00421.wav,pop
m00501.wav,jazz
m00801.wav,rock
m00400.wav,blues
m00629.wav,country
m00762.wav,disco
m00895.wav,rock
m00678.wav,metal
m00671.wav,reggae
m00206.wav,hiphop
m00676.wav,pop
m00821.wav,metal
m00112.wav,reggae
m00773.wav,pop
m00313.wav,blues
m00633.wav,country
m00072.wav,disco
m00996.wav,jazz
m00716.wav,jazz
m00351.wav,jazz
m00606.wav,country
m00096.wav,disco
m00454.wav,hiphop
m00553.wav,disco
m00772.wav,rock
m00658.wav,hiphop
m00338.wav,blues
m00298.wav,blues
m00850.wav,disco
m00513.wav,pop
m00041.wav,pop
m00339.wav,rock
m00253.wav,blues
m00435.wav,classical
m00236.wav,classical
m00102.wav,classical
m00477.wav,classical
